DATE_TIME,current_contract,next_contract,carry_contract
2014-07-17 23:00:00,20141000,20141200,20140900
2014-09-16 23:00:00,20141200,20150100,20141000
2014-10-17 23:00:00,20150100,20150300,20141200
2014-12-15 23:00:00,20150300,20150500,20150100
2015-02-13 23:00:00,20150500,20150700,20150300
2015-04-16 23:00:00,20150700,20150800,20150500
2015-05-18 23:00:00,20150800,20150900,20150700
2015-06-17 23:00:00,20150900,20151000,20150800
2015-07-17 23:00:00,20151000,20151200,20150900
2015-09-16 23:00:00,20151200,20160100,20151000
2015-10-16 23:00:00,20160100,20160300,20151200
2015-12-16 23:00:00,20160300,20160500,20160100
2016-02-16 23:00:00,20160500,20160700,20160300
2016-04-15 23:00:00,20160700,20160800,20160500
2016-05-17 23:00:00,20160800,20160900,20160700
2016-06-17 23:00:00,20160900,20161000,20160800
2016-07-18 23:00:00,20161000,20161200,20160900
2016-09-16 23:00:00,20161200,20170100,20161000
2016-10-17 23:00:00,20170100,20170300,20161200
2016-12-15 23:00:00,20170300,20170500,20170100
2017-02-14 23:00:00,20170500,20170700,20170300
2017-04-17 23:00:00,20170700,20170800,20170500
2017-05-17 23:00:00,20170800,20170900,20170700
2017-06-16 23:00:00,20170900,20171000,20170800
2017-07-17 23:00:00,20171000,20171200,20170900
2017-09-15 23:00:00,20171200,20180100,20171000
2017-10-17 23:00:00,20180100,20180300,20171200
2017-12-15 23:00:00,20180300,20180500,20180100
2018-02-14 23:00:00,20180500,20180700,20180300
2018-04-16 23:00:00,20180700,20180800,20180500
2018-05-17 23:00:00,20180800,20180900,20180700
2018-06-18 23:00:00,20180900,20181000,20180800
2018-07-17 23:00:00,20181000,20181200,20180900
2018-09-17 23:00:00,20181200,20190100,20181000
2018-10-17 23:00:00,20190100,20190300,20181200
2018-12-14 23:00:00,20190300,20190500,20190100
2019-02-14 23:00:00,20190500,20190700,20190300
2019-04-16 23:00:00,20190700,20190800,20190500
2019-05-17 23:00:00,20190800,20190900,20190700
2019-06-17 23:00:00,20190900,20191000,20190800
2019-07-17 23:00:00,20191000,20191200,20190900
2019-09-16 23:00:00,20191200,20200100,20191000
2019-10-17 23:00:00,20200100,20200300,20191200
2019-12-16 23:00:00,20200300,20200500,20200100
2020-02-14 23:00:00,20200500,20200700,20200300
2020-04-16 23:00:00,20200700,20200800,20200500
2020-05-18 23:00:00,20200800,20200900,20200700
2020-06-17 23:00:00,20200900,20201000,20200800
2020-07-17 23:00:00,20201000,20201200,20200900
2020-09-16 23:00:00,20201200,20210100,20201000
2020-10-16 23:00:00,20210100,20210300,20201200
2020-12-15 23:00:00,20210300,20210500,20210100
2021-02-12 23:00:00,20210500,20210700,20210300
2021-04-16 23:00:00,20210700,20210800,20210500
2021-05-17 23:00:00,20210800,20210900,20210700
2021-05-28 23:00:00,20210900,20211000,20210800
